,Unnamed: 0,Seed,Sample Size,True Effect,Cumulant Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cross Moment Error,Relvlingam Error,GRICA Error
0,0,0,10,-0.5561403121650581,0.7304723574988339,-0.5029642826113723,1.584866209734169,0.1844725906848907,2.313467737404433,0.095616211215963,3.849759629119985,1.2544294009432335
1,1,0,1000,-0.5561403121650581,-0.2880185898798019,-0.5345888707369534,-0.7718619942490184,-0.4998251795768738,0.4821116477628756,0.0387518058962581,0.3878907487287771,0.08975814664104945
2,2,0,100000,-0.5561403121650581,-0.5841691251984387,-0.518232810670093,-1.724160608286465,-0.5539593696594238,0.0503988155871387,0.0681617582213937,2.1002259152448337,0.07449238258445544
3,3,0,10000000,-0.5561403121650581,-0.5534583880520482,-0.5157333281410932,-1.7850306289113622,-0.5539593696594238,0.004822387542038,0.0726560962046794,2.209676748592861,0.08320168226618802
4,4,1,10,0.8756511157694503,1.337243376854487,-1.255207588725307,0.0,1.068378210067749,0.5271417494619727,2.4334562774151594,1.0,0.19928463000919067
5,5,1,1000,0.8756511157694503,0.2652247723140511,-0.5535404344774646,0.0,0.8452207446098328,0.6971113637181934,1.6321472382194806,1.0,0.025052223319640066
6,6,1,100000,0.8756511157694503,-3.5632593728140676,-2.512994611934904,0.0,0.904724419116974,5.069268352022789,3.869858287940044,1.0,0.0022064608788542176
7,7,1,10000000,0.8756511157694503,0.881342630766644,-1.6102133595177024,-0.4266507246898648,0.904724419116974,0.0064997518928442,2.8388754727992085,1.4872382584871822,0.032083200448847125
8,8,2,10,0.5707938494671746,0.954025727871032,-9.306659415172025,0.0,1.7133197784423828,0.6714015555030899,17.30476471296882,1.0,2.041850146845532
9,9,2,1000,0.5707938494671746,1.0631425379765331,-10.135756329410468,-0.245081491785491,0.5325866341590881,0.8625683142328125,18.75729773344966,1.4293695386070997,0.06664166652841481
10,10,2,100000,0.5707938494671746,0.5365972657213228,19.44546160901054,-0.7131212407957631,0.6139915585517883,0.0599105680234179,33.06739863641228,2.2493499035798097,0.09197669037001409
11,11,2,10000000,0.5707938494671746,0.5461801916362307,18.00308480772983,-0.4316993291235267,0.6139915585517883,0.0431217993219799,30.54043237245001,1.7563139118028517,0.07025313207749057
12,12,3,10,0.6609442574235832,0.837779038479151,0.811721709467441,1.8756774288306577,0.8220549821853638,0.2675487063688015,0.2281243090477873,1.8378753696146897,0.2269671553128984
13,13,3,1000,0.6609442574235832,0.0418262174917481,0.571543391018955,0.0418262174917481,0.495290994644165,0.9367174810553762,0.1352623392979013,0.9367174810553762,0.07587865449212855
14,14,3,100000,0.6609442574235832,-0.329050503037693,0.7427451578116564,0.0,0.7444911003112793,1.497849098985079,0.1237636903101935,1.0,0.12828753723342753
15,15,3,10000000,0.6609442574235832,0.6460696931626712,0.7493260892645626,0.2853656141054154,0.7444911003112793,0.02250502079993,0.1337205533572517,0.5682455654917181,0.15125259161553936
16,16,4,10,-0.7575657068391233,-1.4585956656897925,-1.6219247674882795,0.2172387858166687,-1.1604679822921753,0.9253718225652736,1.1409690972623605,1.2867590017017514,0.7098791187874114
17,17,4,1000,-0.7575657068391233,2.6693090225035356,-1.6900427356439225,-1.837753145680962,-1.0966945886611938,4.523534656341552,1.23088600815298,1.4258663362004946,0.50143217760739
18,18,4,100000,-0.7575657068391233,-1.5569027760399736,-2.3168757683877534,0.0,-1.0933661460876465,1.0551389298441378,2.058316588873479,1.0,0.48177198273224375
19,19,4,10000000,-0.7575657068391233,-0.70971009134823,-2.8302651695349073,-1.3739991758161645,-1.0933661460876465,0.0631702505259466,2.7359995891893543,0.8137029744245629,0.4719205632382625
20,20,5,10,-0.7094701158399517,-0.6729006771968501,3.151586849865448,-1.2796137379411332,-0.6587693691253662,0.0515447202449204,5.442169979399682,0.8036189395041403,0.04632399102267263
21,21,5,1000,-0.7094701158399517,-0.1036090897563792,-0.7340184006537261,0.0,-0.6131709814071655,0.8539627146469516,0.0346008722082837,1.0,0.11662867755288278
22,22,5,100000,-0.7094701158399517,-0.7388673893476055,-0.6987352258016046,-0.9199130883661688,-0.5280898809432983,0.0414355345649055,0.0151308558298299,0.2966199249662131,0.24297383568459785
23,23,5,10000000,-0.7094701158399517,0.1622684228858309,-0.709564541077535,-0.7112850389927605,-0.5280898809432983,1.228717770154024,0.0001330926214862,0.0025581389720131,0.08082809072005193
24,24,6,10,0.8206883633844835,-5.174807082433865,0.7352208185329804,-5.174807082433865,0.6277539134025574,7.3054471262309395,0.1041412900007971,7.3054471262309395,0.23109034213702584
25,25,6,1000,0.8206883633844835,0.85974750523387,0.638879326927836,0.0,0.6904416084289551,0.0475931469142663,0.2215323679098785,1.0,0.4059724283077512
26,26,6,100000,0.8206883633844835,0.1059741503309758,0.8201145809603924,-0.4995189009533687,0.6257292628288269,0.8708716303787434,0.0006991477516811,1.608658442399956,0.16005704105198276
27,27,6,10000000,0.8206883633844835,0.7049452034829725,0.8105805700861235,0.0,0.6257292628288269,0.1410318033805075,0.0123162381109875,1.0,0.27379422221774574
28,28,7,10,0.6050335080173588,-0.9493243883511724,-0.3730315545915141,0.0,0.5580238103866577,2.5690443186560428,1.6165469344233605,1.0,0.008056904844482382
29,29,7,1000,0.6050335080173588,0.0534721662895326,0.588778904253872,0.0534721662895326,0.2048258632421493,0.911621148943046,0.026865625701875,0.911621148943046,0.7264199068587238
30,30,7,100000,0.6050335080173588,0.6205564937134765,-0.10512487741771,0.0,0.1869395971298217,0.0256564066128919,1.1737505047649262,1.0,0.6849090732876472
31,31,7,10000000,0.6050335080173588,-0.2616097841341293,-0.0730347972374095,0.0,0.1869395971298217,1.4323889184111491,1.1207119874678313,1.0,0.6923412623381392
32,32,8,10,0.5215243137443097,0.3511695149149803,-0.9373102017240276,0.0,0.0377510637044906,0.3266478557946008,2.7972512057866723,1.0,0.9221141901753684
33,33,8,1000,0.5215243137443097,1.5661430386092623,0.1534441872119687,1.1043310495537622,1.10245943069458,2.003010592862029,0.7057775003617597,1.117506356750968,1.1654691664671777
34,34,8,100000,0.5215243137443097,0.3584338017558348,2.6621993913386177,-0.9602811862519812,1.1208937168121338,0.3127189043547336,4.1046505813415,2.841297061219629,1.1685056043870576
35,35,8,10000000,0.5215243137443097,0.5566084087329287,2.3844097984640555,0.5566084087329287,1.1208937168121338,0.067272213517201,3.572001219550182,0.067272213517201,1.1416755072657339
36,36,9,10,-0.7212222746086938,-0.6241038697626985,-0.1123427408104212,0.0,-0.6619021892547607,0.1346580773572029,0.8442328464253633,1.0,0.0797984094917963
37,37,9,1000,-0.7212222746086938,-0.0136613789710101,-0.5050556082695845,0.0,-1.00936758518219,0.98105801851666,0.2997226707347504,1.0,0.18328044969650958
38,38,9,100000,-0.7212222746086938,-0.6787606046693917,-0.7377967738940665,-2.2218070305604174,-0.8466933965682983,0.0588745958551267,0.0229811250551923,2.0806134374675,0.1226327785473638
39,39,9,10000000,-0.7212222746086938,-0.319177629731613,-0.7189376432255844,-2.055937051641045,-0.8466933965682983,0.5574490126434518,0.0031677216075293,1.8506288893483132,0.22086129028093074
40,40,10,10,0.7163523725109571,0.2721165535668377,0.4397388517306427,0.0,0.200461596250534,0.6201358939972303,0.3861416970125039,1.0,0.7373032061011289
41,41,10,1000,0.7163523725109571,0.3393349493222026,2.4390104441886757,0.3393349493222026,0.4796300232410431,0.5263016326270179,2.4047635462411616,0.5263016326270179,0.33299578063425356
42,42,10,100000,0.7163523725109571,0.6996498117941478,0.8763840671375631,-0.5566084564187286,0.5335280895233154,0.023316123960424,0.22339801020783,1.7770037174131297,0.2877662518708763
43,43,10,10000000,0.7163523725109571,0.7162790708608748,0.8141424226305225,0.843734210432653,0.5335280895233154,0.0001023262473819,0.1365110996656462,0.1778200824200488,0.28945482959810825
