,Unnamed: 0,Seed,Sample Size,True Effect 0,True Effect 1,Cumulant Error,Cumulant Estimate 0,Cumulant Error 0,Cumulant Estimate 1,Cumulant Error 1,Min Norm Error,Min Norm Estimate 0,Min Norm Error 0,Min Norm Estimate 1,Min Norm Error 1,Relvlingam Error,Relvlingam Estimate 0,Relvlingam Error 0,Relvlingam Estimate 1,Relvlingam Error 1,GRICA Error,GRICA Estimate 0,GRICA Error 0,GRICA Estimate 1,GRICA Error 1
0,0,0,10,0.8096934757736867,-0.6824601328866194,1.0046290050149644,1.7743319564901847,1.191362545924872,-0.1242790857661191,0.8178954641050566,0.4384566376713238,1.3682838036306963,0.6898787560604458,-0.8101037357703359,0.1870345192822018,1.0,0.0,1.0,0.0,1.0,0.9647904654486361,-0.72586894,1.8964737423131683,-0.6598658,0.03310718858410391
1,1,0,1000,0.8096934757736867,-0.6824601328866194,0.2192394400089058,0.7318565664164598,0.0961313283188447,-0.9160986885125052,0.3423475516989668,0.1217402239320635,0.9300348287467068,0.1486258152914351,-0.6177256277361486,0.094854632572692,0.5657864925291174,0.3331846285953154,0.5885052324560879,-1.0530822234939183,0.5430677526021468,0.014094695587881588,0.7887986,0.02580594480002001,-0.68408674,0.0023834463757431684
2,2,0,100000,0.8096934757736867,-0.6824601328866194,0.1244939802859292,0.7386758323338718,0.0877092943992853,-0.7925263928345305,0.1612786661725732,0.1053906795806227,0.8740893810946977,0.0795312142776978,-0.5928871415680055,0.1312501448835476,0.5390099336513493,0.0,1.0,-0.6292146838794234,0.0780198673026985,0.20381403837329243,0.5412338,0.33155719516856347,-0.7343755,0.07607088157802137
3,3,0,10000000,0.8096934757736867,-0.6824601328866194,0.0044592063080252,0.8070975834458188,0.0032060185805342,-0.6863586140791986,0.0057123940355162,0.1075304234938535,0.8728430525953713,0.0779919546237461,-0.5889160783892889,0.1370688923639609,0.5374368371963505,0.0,1.0,-0.6313618351108672,0.074873674392701,0.16494738453956195,0.5627688,0.30496066253937104,-0.6654436,0.02493410653975286
4,4,1,10,-0.6684430500020209,-0.8831558120602008,0.631480417577013,-1.1154464375008062,0.6687232180773425,-1.4079602173262775,0.5942376170766834,1.0201758540970256,0.2206299937410635,1.3300655063141078,-0.2558624246437636,0.7102862018799434,21.84335626920733,-5.730377028271478,7.57272287931508,-32.77743567617598,36.11398965909958,0.6661313914804016,-0.80937886,0.2108419144735434,-1.8735452,1.1214208684872597
5,5,1,1000,-0.6684430500020209,-0.8831558120602008,0.5628083408157292,-1.1324966521707915,0.6942305738198157,-1.2641369604160817,0.4313861078116427,0.9353326874282584,0.2658533569106894,1.397720279850147,-0.465471602619961,0.4729450950063702,1.0,0.0,1.0,0.0,1.0,0.47598825143177426,-0.84018844,0.2569334719811897,-1.4969871,0.6950430308823587
6,6,1,100000,-0.6684430500020209,-0.8831558120602008,1.0566712928875517,-1.6109054343105798,1.4099366943911071,-1.504372813273363,0.7034058913839958,0.9783637324141023,0.2016306906274491,1.301642287442198,-0.3046135302572611,0.6550851773860069,2.1655658160303943,0.0,1.0,-3.825064073652269,3.3311316320607887,0.5464677119415777,-0.9127119,0.3654295879825141,-1.5256568,0.7275058359006414
7,7,1,10000000,-0.6684430500020209,-0.8831558120602008,0.7093917422294796,-1.3026153243229182,0.9487304480448708,-1.298285883145848,0.4700530364140884,0.9763500231169332,0.2038772846224589,1.3050032229699189,-0.3111385981417171,0.6476968232639472,0.5285766384265229,-0.7934889828453248,0.1870704360572316,-1.6515745298828746,0.8700828407958143,0.501951149873672,-0.86307055,0.29116541428340037,-1.5126135,0.7127368854639435
8,8,2,10,-0.5806972905059862,-0.7561626900859659,0.7728619203002709,-0.1300039817381142,0.7761243528020663,-0.1742202711034891,0.7695994877984755,0.9916164514408954,-0.0181588734474283,0.968729192051842,0.0109671649974028,1.0145037108299486,0.9662407466485968,0.0,1.0,-0.0510549756589816,0.9324814932971932,0.6065518682438905,-0.23821263,0.5897817433500722,-0.28482985,0.6233219931377089
9,9,2,1000,-0.5806972905059862,-0.7561626900859659,0.8379872908388644,-0.1210058036231663,0.7916198239572827,-0.0874466174977509,0.884354757720446,0.9819325651299302,-0.0431643475065135,0.9256680748950928,0.0288831881379852,1.0381970553647677,0.7712342999631252,-0.2580403997181868,0.5556369834387461,-0.0099574403008924,0.9868316164875044,0.6969562265184843,-0.1713374,0.7049454187100567,-0.23519152,0.6889670343269121
10,10,2,100000,-0.5806972905059862,-0.7561626900859659,0.0052042272339352,-0.5788618256136331,0.0031607946556006,-0.750682280145492,0.0072476598122698,0.9763141234476068,-0.0560875984350169,0.9034133629482832,0.0372144590375791,1.04921488394693,2.5145579605344044,0.0,1.0,2.290504443457619,4.029115921068809,0.6989560485884745,-0.17290503,0.7022458504745148,-0.23012583,0.6956662467024343
